url,title_url,title,short_content,tags
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0305/c1007-29848637.html,余少华代表：５Ｇ发展应更加注重惠及老人及困难群体,通信领域，５Ｇ技术正在迅速发展。全国人大代表、武汉邮电科学研究院副院长余少华４日表示，发展５Ｇ技术时，应更加注重惠及老人及困难群体。,科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0305/c1007-29848632.html,全国人大代表张近东：构建电商精准扶贫长效机制，助力打赢脱贫攻坚战,党的十八大以来，全国农村贫困人口累计减少6853万人。然而截至2017年末，全国农村贫困人口仍然超过3000万。,科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0305/c1007-29848628.html,我国科技创新水平加速迈向国际第一方阵,十三届全国人大一次会议5日上午9时在人民大会堂开幕，听取国务院总理李克强关于政府工作的报告。报告中称，坚持创新引领发展，着力激发社会创造力，整体创新能力和效率显著提高。,科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0305/c1007-29848615.html,北斗厘米级定位服务有望今年覆盖中国大陆,随着北斗三号第五、六颗导航卫星的成功发射，中国北斗卫星导航系统进入全球组网的密集发射阶段。太空中的“北斗”越来越多，地面上的人们该如何使用，这种使用到了何种精度，成了一个备受瞩目的问题。,科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0305/c1007-29848614.html,中国“虹云工程”将于2022年完成部署,我国以天基互联网接入为主要目标的“虹云工程”迎来了最新消息。全国政协委员、中国航天科工二院院长张忠阳在两会期间接受记者采访时透露，“虹云工程”将在今年年底前实现技术验证星的发射，并开展低轨宽带通信的演示验证及应用示范，目前卫星已经进入正样研制阶段。,科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0302/c1007-29844578.html,我国将研制发射旗舰级X射线空间天文台,eXTP卫星在轨运行模拟图（中科院国家空间科学中心供图）	人民网北京3月2日电（赵竹青）今天，中国科学院正式启动了增强型X射线时变与偏振（eXTP）空间天文台背景型号项目。作为硬X射线调制望远镜卫星“慧眼”的继任者， eXTP将有望成为在2025-2035年间该领域国际领先的旗舰级X射线空间天文台。,独家-滚动-科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29842567.html,中国发布首部地理国情蓝皮书:哪个省上学最近?,人民网北京3月1日电（赵竹青）中国首部地理国情蓝皮书2月28日在京发布。蓝皮书显示，河南省城乡居民地到最近小学校区的平均交通距离最小，上海城乡居民地到最近中学校区的平均距离最小。,科技-科学界-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841260.html,如何激活博士群体科研活力,2月23日，海峡国际会展中心内人头攒动，福州市2018年高校毕业生供需见面会暨博士对接洽谈会在此举办。此次招聘会共有300家用人单位提供了4500个工作岗位，是近年来福州市针对高校毕业生举办的规模最大、涵盖用人单位范围最广、层次最高的现场招聘活动。,科技-科学界-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841171.html,隔空操作成果武装可穿戴设备还需闯关,	影视作品经常出现这样的镜头，小手一划拉，一面虚拟屏幕就出现在眼前，但是，种种令人心醉神迷的“隔空操作”大多数都是艺术的渲染而非创新成果的落地。不过，有人寄希望于华为新公开的一项专利申请，能够让电影里的高科技进入现实生活。,科技-科学界-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841120.html,太阳系中的大块头,木星闪耀在晨曦微露的夜空姜雪鹏摄		2016年11月25日，故宫博物院，木星伴残月，其身边的卫星清晰可见。李鹏摄	新春长假已过，人们逐渐回到了自己的工作岗位上，开始了充满活力的全新一年。,科技-科学界-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841292.html,防治抑郁症 不能忽视中医药,世界卫生组织、世界银行和哈佛大学的最近的一项联合研究表明，抑郁症已居世界十大病种的第4位，预计2020年将跃至第2，紧随心肌梗死之后。近年来，随着人们生活节奏的加快、压力增大，抑郁症的发病率逐年升高。,滚动-科技-产业动态
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841204.html,这次太阳能发电主角 很像你家炒菜的盐,太阳能德令哈熔盐式光热电站		使用熔盐存贮热量的太阳能发电技术	日前，有外媒报道，除了太阳能和风能，清洁能源公司还在考虑使用熔盐发电，美国太阳能储备公司等在推动熔盐能像太阳能和风能一样有效发电，且24小时不间断。	熔（Rong）岩（Yan）发电？乍听上去会不会有撞见火山喷发的凌乱感？其实，这次发电的主角是熔盐，没错，很像你家盐罐里的那厮。,滚动-产业动态-科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841200.html,只有废纸篓大小，微型核电站要上太空,Kilopower反应堆	据国外媒体近日报道，美国宇航局和美国能源部合作开发出一种只有废纸篓大小的核反应堆，并称其为“Kilopower”，也就是千瓦级太空反应堆。它能在太空环境中运行，为太空基地提供电能。,滚动-科技-产业动态
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841189.html,冰结构探测机器人 成功用于南极科考,探冰机器人受访者供图	由中国科学院沈阳自动化研究所自主研发的探冰机器人，在我国第34次南极科考中，成功执行了 “南极埃默里冰架地形勘测”项目地面勘察现场试验任务。这也是我国地面机器人首次投入极地考察中的冰盖探路应用。,科技-产业动态-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841137.html,在春季星空中寻找行星身影,3月19日晚金星、水星将依偎在月亮旁边（示意图）	春回大地，一幕幕精彩天象也如期上演。本月天空的主角是几颗明亮的行星，其中水星将在月中迎来大距，观测条件不错。,滚动-科技-产业动态
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841388.html,保护知识产权就是保护创新,近日，中共中央办公厅、国务院办公厅印发了《关于加强知识产权审判领域改革创新若干问题的意见》。2月28日，国新办举行新闻发布会，邀请最高人民法院副院长陶凯元介绍《意见》有关情况，并答记者问。,发明・创新-科技-滚动
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841313.html,药膳养生靠不靠谱？,	春节期间播出的《舌尖上的中国3》，因“药食同源”“药膳”“食疗”，一经播出就引发争议，有观众认为，里面所提到的煲汤养生并非人人适用；草药入菜也绝非“缺啥补啥”那么简单，随意食补可能适得其反。	药膳是药和食品的结合	《舌尖上的中国3》热播后，就“药膳究竟是滋补良方还是伪科学”这一话题，引得各方在网上吐槽。,滚动-科技-发明・创新
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841147.html,寻找另一个地球 科学家有四大法宝,行星Kepler-186f的艺术构想图		行星运动使光谱发生频率红移和蓝移	仰望星空，在地球之外，是否还存在宜居的星球？这个问题带给人们无限的遐想。	关于宜居行星的探测，不断有好消息传来。,滚动-发明・创新-科技
http://scitech.people.com.cn/index1.html#fy01,http://scitech.people.com.cn/n1/2018/0301/c1007-29841073.html,试管“迷你大脑”可用于研究脑褶皱,以色列魏兹曼科学院研究人员表示，他们找到在试管中培育微型大脑的方法，这种微型大脑可以产生类似人脑的褶皱，研究它可为分析和医治小头症、癫痫和精神分裂症等疾病开辟新道路。	现实生活中，每3万个婴儿中就约有1个婴儿的大脑生来光滑无褶皱，其成长过程中面临重大疾病的威胁，寿命也较正常婴儿短很多。,滚动-发明・创新-科技
